,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value
74,2023-01-26 16:10:08,2021-03-08,JAKK,Jakks Pacific Inc,Rosen Lawrence I,10%,P - Purchase,$9.48,364605,885706,+70%,"+$3,455,970"
75,2023-01-26 16:09:37,2023-01-24,DV,"Doubleverify Holdings, Inc.",Eddleman Julie,Global Chief Comm. Officer,S - Sale,$25.00,-300,119234,0%,"-$7,500"
76,2023-01-26 16:08:33,2023-01-26,CRNC,Cerence Inc.,Beaudoin Thomas L,"EVP, CFO",S - Sale,$23.26,-734,214740,0%,"-$17,073"
77,2023-01-26 16:07:26,2023-01-26,SKYT,"Skywater Technology, Inc","Ddk Developments, L.L.C.",10%,S - Sale,$9.50,-11187,5132040,0%,"-$106,277"
78,2023-01-26 16:05:49,2023-01-24,TVTX,"Travere Therapeutics, Inc.",Calvin Sandra,"SVP, Chief Accounting Officer",S - Sale,$21.86,-1097,34836,-3%,"-$23,976"
79,2023-01-26 16:05:48,2023-01-24,TVTX,"Travere Therapeutics, Inc.",Rote William E.,"SVP, R, D",S - Sale,$21.50,-2062,42376,-5%,"-$44,333"
80,2023-01-26 16:05:45,2023-01-24,PCG,Pacific Gas & Electric Co,"Newtyn Management, LLC",10%,S - Sale,$21.62,-82000,1082665,-7%,"-$1,773,073"
81,2023-01-26 16:05:38,2023-01-24,TVTX,"Travere Therapeutics, Inc.",Reed Elizabeth E,"SVP, GC, Corporate Secretary",S - Sale,$21.50,-2062,39776,-5%,"-$44,333"
82,2023-01-26 16:05:36,2023-01-24,TVTX,"Travere Therapeutics, Inc.",Dube Eric M,CEO,S - Sale,$21.50,-6442,147846,-4%,"-$138,503"
83,2023-01-26 16:05:28,2023-01-24,TVTX,"Travere Therapeutics, Inc.",Cline Christopher R.,CFO,S - Sale,$21.90,-852,32871,-3%,"-$18,663"
84,2023-01-26 16:05:20,2023-01-24,TVTX,"Travere Therapeutics, Inc.",Heerma Peter,Chief Commercial Officer,S - Sale,$21.90,-1550,63598,-2%,"-$33,952"
85,2023-01-26 16:03:27,2023-01-24,DBX,"Dropbox, Inc.",Young Timothy H.,Pres,S - Sale,$23.07,-15000,1108945,-1%,"-$346,037"
86,2023-01-26 16:00:33,2023-01-24,AEHR,Aehr Test Systems,Erickson Gayn,"Pres, CEO",S - Sale,$35.00,-50496,495253,-9%,"-$1,767,360"
87,2023-01-26 16:00:22,2023-01-24,MDIA,Mediaco Holding Inc.,Emmis Corp,"Dir, 10%",S - Sale,$1.47,-1869,431872,0%,"-$2,749"
88,2023-01-26 15:14:49,2023-01-25,FFIN,First Financial Bankshares Inc,Trotter Johnny,Dir,P - Purchase,$34.05,3000,973057,0%,"+$102,150"
89,2023-01-26 15:07:58,2023-01-26,CTBI,Community Trust Bancorp Inc /ky/,Baird Charles J,Dir,P - Purchase,$41.63,500,48252,+1%,"+$20,816"
90,2023-01-26 14:29:05,2023-01-24,RAPT,"Rapt Therapeutics, Inc.",Ho William,Chief Medical Officer,S - Sale,$30.00,-5000,30072,-14%,"-$150,000"
91,2023-01-26 14:20:07,2022-05-11,HNVR,"Hanover Bancorp, Inc. /Ny",Puorro Michael P,"COB, CEO",P - Purchase,$21.00,4820,256543,+2%,"+$101,220"
92,2023-01-26 14:11:46,2023-01-25,HEI,Heico Corp,Schriesheim Alan,Dir,S - Sale,$167.33,-15000,143930,-9%,"-$2,509,913"
93,2023-01-26 14:05:56,2023-01-24,WLDN,"Willdan Group, Inc.","Forager Fund, L.P.",10%,P - Purchase,$17.92,51903,1910794,+3%,"+$930,278"
94,2023-01-26 13:05:33,2023-01-24,TTNP,Titan Pharmaceuticals Inc,Lazar David E.,"CEO, 10%",P - Purchase,$0.98,57500,3747968,+2%,"+$56,287"
95,2023-01-26 12:58:35,2023-01-26,FNB,Fnb Corp/pa/,Campbell William B,Dir,P - Purchase,$13.50,1900,129691,+1%,"+$25,641"
96,2023-01-26 12:16:30,2023-01-25,BMRA,Biomerica Inc,Irani Zackary S.,CEO,P - Purchase,$2.85,1800,1005960,0%,"+$5,130"
97,2023-01-26 12:06:09,2023-01-25,CHSCL,Chs Inc,Cordes Scott A,Dir,P - Purchase,$25.49,2000,2100,>999%,"+$50,980"
98,2023-01-26 11:46:15,2023-01-25,TPL,Texas Pacific Land Corp,Stahl Murray,Dir,P - Purchase,"$2,098.82",21,360272,0%,"+$44,075"
99,2023-01-26 10:46:35,2023-01-24,BYD,Boyd Gaming Corp,Hirsberg Josh,"Exec. VP, Treasurer, CFO",S - Sale+OE,$61.00,-16000,417405,-4%,"-$976,000"
100,2023-01-26 10:34:01,2023-01-24,VOXX,Voxx International Corp,Lesser Peter A,Dir,P - Purchase,$10.29,500,9500,+6%,"+$5,144"
101,2023-01-26 10:19:48,2023-01-25,FRAF,Franklin Financial Services Corp /pa/,Hollar Mark R,CFO,P - Purchase,$33.95,3,8239,0%,+$102
102,2023-01-26 09:39:07,2023-01-25,APLD,"Applied Blockchain, Inc.",Cummins Wes,"CEO; COB, 10%",P - Purchase,$2.48,25000,22982754,0%,"+$62,000"
103,2023-01-26 09:28:21,2023-01-25,LMT,Lockheed Martin Corp,Donovan John,Dir,P - Purchase,$451.20,556,2324,+31%,"+$250,867"
104,2023-01-26 09:15:03,2023-01-24,WRBY,Warby Parker Inc.,Durable Capital Partners LP,10%,S - Sale,$17.00,-13968,11650112,0%,"-$237,456"
105,2023-01-26 07:44:04,2023-01-25,GALT,Galectin Therapeutics Inc,Eldred Kary,Dir,P - Purchase,$1.11,1300,50640,+3%,"+$1,443"
106,2023-01-26 06:58:01,2023-01-24,SIG,Signet Jewelers Ltd,Drosos Virginia,CEO,S - Sale,$75.88,-10000,1106059,-1%,"-$758,782"
107,2023-01-26 06:03:37,2023-01-25,TOVX,"Theriva Biologics, Inc.",Shallcross Steven A,"CEO, CFO",P - Purchase,$0.87,25000,160000,+19%,"+$21,825"
108,2023-01-26 06:02:39,2023-01-25,REFR,Research Frontiers Inc,Daigle Darryl,Dir,P - Purchase,$2.00,3500,422445,+1%,"+$7,000"
109,2023-01-25 21:49:58,2023-01-23,MBC,"Masterbrand, Inc.",Goldman Sachs Group Inc,10%,S - Sale+OE,$8.59,-1362,15778766,0%,"-$11,703"
110,2023-01-25 21:49:58,2023-01-23,MBC,"Masterbrand, Inc.",Goldman Sachs Group Inc,10%,P - Purchase,$8.51,1481,15778766,0%,"+$12,608"
111,2023-01-25 21:30:52,2023-01-23,OPAL,Opal Fuels Inc.,"Arclight Ctc Holdings Ii, L.P.",10%,S - Sale,$6.95,-516000,8910882,-5%,"-$3,586,346"
112,2023-01-25 21:19:31,2023-01-23,TREE,"Lendingtree, Inc.",Lebda Douglas R,"COB, CEO, 10%",P - Purchase,$32.03,65062,1852277,+4%,"+$2,084,204"
113,2023-01-25 21:05:13,2023-01-23,BOWL,Bowlero Corp.,Shannon Thomas F.,"CEO, 10%",S - Sale,$14.29,-9044,1216730,-1%,"-$129,239"
114,2023-01-25 21:00:55,2023-01-23,PLRX,"Pliant Therapeutics, Inc.",Coulie Bernard,"Pres, CEO",S - Sale+OE,$33.12,-60000,528129,-10%,"-$1,987,473"
115,2023-01-25 21:00:46,2023-01-23,PLRX,"Pliant Therapeutics, Inc.",Ouimette Mike,"GC, Corp. Sec'y",S - Sale+OE,$34.19,-20000,5947,-77%,"-$683,878"
116,2023-01-25 21:00:38,2023-01-23,PLRX,"Pliant Therapeutics, Inc.",Lefebvre Eric,Chief Medical Officer,S - Sale,$34.48,-67500,76926,-47%,"-$2,327,630"
117,2023-01-25 21:00:30,2023-01-23,PLRX,"Pliant Therapeutics, Inc.",Cummings Keith Lamont,CFO,S - Sale+OE,$35.00,-30000,84424,-26%,"-$1,050,000"
118,2023-01-25 21:00:13,2023-01-23,VIR,"Vir Biotechnology, Inc.",Svf Endurance (Cayman) Ltd,10%,S - Sale,$28.34,-36512,19346512,0%,"-$1,034,707"
119,2023-01-25 20:54:15,2023-01-23,EIGR,"Eiger Biopharmaceuticals, Inc.",Dietz Thomas John,Dir,P - Purchase,$1.43,50000,71000,+238%,"+$71,580"
120,2023-01-25 20:21:34,2023-01-24,DIS,Walt Disney Co,Woodford Brent,"EVP, Control, Fin Plan, Tax",S - Sale,$105.71,-1139,32432,-3%,"-$120,408"
121,2023-01-25 20:01:49,2023-01-24,VIR,"Vir Biotechnology, Inc.",Pang Phillip,Chief Medical Officer,S - Sale+OE,$30.00,-30000,144000,-17%,"-$900,057"
122,2023-01-25 19:31:48,2023-01-23,PEN,Penumbra Inc,Bose Arani,Dir,S - Sale,$250.25,-20000,445662,-4%,"-$5,005,000"
123,2023-01-25 19:20:03,2023-01-24,CTKB,"Cytek Biosciences, Inc.",Jeanmonod Patrik,CFO,S - Sale,$11.05,-3500,76132,-4%,"-$38,675"
124,2023-01-25 19:04:57,2023-01-23,CMPO,"Composecure, Inc.",Basile Donald G,10%,S - Sale,$5.92,-279645,1612290,-15%,"-$1,655,339"
125,2023-01-25 19:04:06,2023-01-23,CMPO,"Composecure, Inc.",Doll Dixon R Jr.,10%,S - Sale,$5.92,-279645,1616370,-15%,"-$1,655,339"
126,2023-01-25 19:02:56,2023-01-23,CMPO,"Composecure, Inc.",Roman Dbdr Tech Sponsor LLC,10%,S - Sale,$5.92,-279645,1612290,-15%,"-$1,655,339"
127,2023-01-25 19:00:49,2023-01-23,BLFS,Biolife Solutions Inc,Schulz Marcus,Chief Revenue Officer,S - Sale,$25.02,-1000,43437,-2%,"-$25,020"
128,2023-01-25 19:00:30,2023-01-23,BLFS,Biolife Solutions Inc,Berard Todd,CMO,S - Sale+OE,$25.01,-3500,119265,-3%,"-$87,535"
129,2023-01-25 18:58:04,2023-01-24,ANGI,Angi Inc.,Shanmugasundaram Kulesh,CTO,S - Sale,$3.00,-400,70586,-1%,"-$1,200"
130,2023-01-25 18:57:15,2023-01-23,YELP,Yelp Inc,Stoppelman Jeremy,CEO,S - Sale+OE,$29.75,-150000,501736,-23%,"-$4,462,717"
131,2023-01-25 18:54:45,2023-01-23,UPST,"Upstart Holdings, Inc.",Datta Sanjay,CFO,S - Sale+OE,$17.48,-3200,275585,-1%,"-$55,936"
132,2023-01-25 18:53:41,2023-01-23,YELP,Yelp Inc,Nachman Joseph R,COO,S - Sale,$29.80,-3452,261601,-1%,"-$102,882"
133,2023-01-25 18:51:28,2023-01-24,SWIM,"Latham Group, Inc.",Bahl Sanjeev,"COO LATHAM GROUP, INC.",S - Sale,$3.58,-3653,27211,-12%,"-$13,078"
134,2023-01-25 18:50:52,2023-01-23,PD,"Pagerduty, Inc.",Tejada Jennifer,CEO,S - Sale+OE,$28.30,-191462,819182,-19%,"-$5,418,375"
135,2023-01-25 18:36:54,2023-01-23,TER,"Teradyne, Inc",Robbins Brad,"Pres, LitePoint Corp.",S - Sale+OE,$100.00,-2710,54321,-5%,"-$271,000"
136,2023-01-25 18:31:27,2023-01-23,ZETA,Zeta Global Holdings Corp.,Niehaus Robert H,Dir,S - Sale,$9.06,-89311,16257019,-1%,"-$809,406"
137,2023-01-25 18:30:10,2023-01-23,SWKS,"Skyworks Solutions, Inc.",Durham Karilee A,"SVP, HR",S - Sale,$110.00,-2716,13428,-17%,"-$298,760"
138,2023-01-25 18:28:15,2023-01-23,SITM,Sitime Corp,Sevalia Piyush B,EVP Marketing,S - Sale,$120.00,-2375,91673,-3%,"-$285,000"
139,2023-01-25 18:17:20,2023-01-23,KZR,"Kezar Life Sciences, Inc.",Morningside Venture Investments Ltd,10%,S - Sale,$6.90,-160000,5712993,-3%,"-$1,103,200"
140,2023-01-25 18:16:55,2023-01-23,HYMC,Hycroft Mining Holding Corp,"Mudrick Capital Management, L.P.",10%,S - Sale+OE,$0.62,-841266,16196292,-5%,"-$524,383"
141,2023-01-25 18:14:25,2023-01-23,IVZ,Invesco Ltd.,"Trian Fund Management, L.P.",10%,S - Sale,$18.65,-7171957,48586677,-13%,"-$133,775,857"
142,2023-01-25 18:04:31,2023-01-23,VRDN,"Viridian Therapeutics, Inc.de",Meisner Lara,"GC, Secretary",S - Sale+OE,$35.66,-6843,0,-100%,"-$244,021"
143,2023-01-25 18:01:26,2023-01-23,STRL,"Sterling Infrastructure, Inc.",Cutillo Joseph A,CEO,S - Sale,$34.05,-99890,684350,-13%,"-$3,401,119"
144,2023-01-25 18:01:09,2023-01-23,MC,Moelis & Co,Moelis Kenneth,"COB, CEO, 10%",S - Sale,$46.03,-14678,178745,-8%,"-$675,605"
145,2023-01-25 18:00:05,2023-01-24,TEAM,Atlassian Corp,Farquhar Scott,"Co-CEO, Co-Founder, 10%",S - Sale,$150.91,-8614,404858,-2%,"-$1,299,930"
146,2023-01-25 17:59:50,2023-01-24,TEAM,Atlassian Corp,Cannon-Brookes Michael,"Co-CEO, Co-Founder, 10%",S - Sale,$150.91,-8614,404858,-2%,"-$1,299,933"
147,2023-01-25 17:58:25,2023-01-23,VAXX,"Vaxxinity, Inc.",Prime Movers Lab Fund I LP,10%,S - Sale,$3.35,-500692,16754036,-3%,"-$1,678,019"
148,2023-01-25 17:50:27,2023-01-23,TXMD,"Therapeuticsmd, Inc.",Donegan Michael C,"Prin. Fin., Acctg. Officer",S - Sale+OE,$5.34,-1309,7610,-15%,"-$6,988"
149,2023-01-25 17:49:07,2023-01-23,TARS,"Tarsus Pharmaceuticals, Inc.",Azamian Bobak R.,"Pres, CEO, Board Chair",S - Sale,$15.45,-4856,1112856,0%,"-$75,025"
150,2023-01-25 17:46:21,2023-01-23,HSON,"Hudson Global, Inc.",Eberwein Jeffrey E.,CEO,P - Purchase,$25.42,1704,398555,0%,"+$43,321"
151,2023-01-25 17:45:52,2023-01-23,CDNS,Cadence Design Systems Inc,Nisewaner Karna,"Corporate VP, GC",S - Sale,$180.00,-1000,15793,-6%,"-$180,000"
152,2023-01-25 17:40:44,2023-01-23,TMDX,"Transmedics Group, Inc.",Hassanein Waleed H,"Pres, CEO",S - Sale,$65.42,-12362,398785,-3%,"-$808,664"
153,2023-01-25 17:39:48,2023-01-23,ACHR,Archer Aviation Inc.,Adcock Brett,10%,S - Sale+OE,$2.83,-132018,0,-100%,"-$373,241"
154,2023-01-25 17:38:34,2022-12-16,SQL,"Seqll, Inc.",Miscoll Douglas Patrick,Dir,P - Purchase,$0.34,3000,54729,+6%,"+$1,020"
155,2023-01-25 17:36:10,2023-01-23,TMDX,"Transmedics Group, Inc.",Khayal Tamer I,Chief Commercial Officer,S - Sale+OE,$65.07,-3142,37127,-8%,"-$204,450"
